table,column,type,app_formula,purpose
LOTES,RELATED_INGRESOS,List,"REF_ROWS(""INGRESOS"", ""ID_LOTE"")",Trazabilidad: ingresos relacionados al lote.
LOTES,RELATED_EGRESOS,List,"REF_ROWS(""EGRESOS"", ""ID_LOTE"")",Trazabilidad: egresos relacionados al lote.
LOTES,RELATED_DOCUMENTOS,List,"REF_ROWS(""DOCUMENTOS"", ""ID_LOTE"")",Trazabilidad: documentos relacionados al lote.
LOTES,TRAZABILIDAD_RESUMEN,LongText,"CONCATENATE(""Producto: "", [ID_PRODUCTO].[NOMBRE], "" | Lote: "", [LOTE], "" | Stock: "", [STOCK_ACTUAL], "" | Vence: "", TEXT([FECHA_VENCIMIENTO]))",Resumen visible para inspeccion.
LOTES,TOTAL_INGRESOS,Number,"SUM(SELECT(INGRESOS[CANTIDAD], [ID_LOTE] = [_THISROW].[ID_LOTE]))",Total ingresado por lote.
LOTES,TOTAL_EGRESOS,Number,"SUM(SELECT(EGRESOS[CANTIDAD], [ID_LOTE] = [_THISROW].[ID_LOTE]))",Total egresado por lote.
LOTES,STOCK_ACTUAL,Number,[TOTAL_INGRESOS] - [TOTAL_EGRESOS],Stock por lote.
LOTES,DIAS_VENCIMIENTO,Number,[FECHA_VENCIMIENTO] - TODAY(),Dias restantes al vencimiento.
LOTES,ALERTA_VENCIMIENTO,Enum,"IFS([STOCK_ACTUAL] <= 0, ""SIN STOCK"", [FECHA_VENCIMIENTO] < TODAY(), ""VENCIDO"", [DIAS_VENCIMIENTO] <= 30, ""VENCE 30 DIAS"", [DIAS_VENCIMIENTO] <= 60, ""VENCE 60 DIAS"", [DIAS_VENCIMIENTO] <= 90, ""VENCE 90 DIAS"", TRUE, ""VIGENTE"")",Alerta sanitaria.
LOTES,PRIMER_INGRESO,Date,"MIN(SELECT(INGRESOS[FECHA], [ID_LOTE] = [_THISROW].[ID_LOTE]))",FIFO para desempate.
LOTES,ORDEN_FEFO_FIFO,Number,"COUNT(SELECT(LOTES[ID_LOTE], AND([ID_PRODUCTO] = [_THISROW].[ID_PRODUCTO], [STOCK_ACTUAL] > 0, OR([FECHA_VENCIMIENTO] < [_THISROW].[FECHA_VENCIMIENTO], AND([FECHA_VENCIMIENTO] = [_THISROW].[FECHA_VENCIMIENTO], [PRIMER_INGRESO] < [_THISROW].[PRIMER_INGRESO]))))) + 1",Prioridad FEFO/FIFO.
LOTES,ES_LOTE_FEFO,Yes/No,[ORDEN_FEFO_FIFO] = 1,Marca lote prioritario.
EGRESOS,STOCK_DISPONIBLE_LOTE,Number,[ID_LOTE].[STOCK_ACTUAL],Stock disponible para validar salida.
EGRESOS,ES_FEFO_VALIDO,Yes/No,"[ID_LOTE] = ANY(ORDERBY(SELECT(LOTES[ID_LOTE], AND([ID_PRODUCTO] = [_THISROW].[ID_PRODUCTO], [STOCK_ACTUAL] > 0)), [FECHA_VENCIMIENTO], TRUE, [PRIMER_INGRESO], TRUE))",Valida lote FEFO/FIFO.
